hour_of_day,avg_temp
0,23.515277777777783
1,25.736052631578946
2,26.602380952380948
3,25.273921568627458
4,24.857249999999997
5,25.21229166666667
6,25.549999999999994
7,23.429761904761907
8,23.80806451612903
9,23.05195121951219
10,24.309074074074065
11,25.050212765957454
12,23.96969696969697
13,24.167906976744188
14,24.552249999999997
15,26.37742857142857
16,24.81634146341463
17,24.6851282051282
18,24.7419512195122
19,24.976444444444446
20,27.163
21,27.238500000000005
22,24.516410256410257
23,24.92526315789474
